_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
14511,ET,80,2011-01
14512,NY,136,2011-01
14513,SC,159,2011-01
14514,TO,367,2011-01
14515,ET,109,2011-02
14516,NY,150,2011-02
14517,SC,154,2011-02
14518,TO,383,2011-02
14519,ET,177,2011-03
14520,NY,231,2011-03
14521,SC,213,2011-03
14522,TO,589,2011-03
14523,ET,178,2011-04
14524,NY,277,2011-04
14525,SC,261,2011-04
14526,TO,660,2011-04
14527,ET,263,2011-05
14528,NY,376,2011-05
14529,SC,375,2011-05
14530,TO,871,2011-05
14531,ET,255,2011-06
14532,NY,365,2011-06
14533,SC,334,2011-06
14534,TO,870,2011-06
14535,ET,238,2011-07
14536,NY,364,2011-07
14537,SC,352,2011-07
14538,TO,989,2011-07
14539,ET,257,2011-08
14540,NY,366,2011-08
14541,SC,345,2011-08
14542,TO,965,2011-08
14543,ET,152,2011-09
14544,NY,255,2011-09
14545,SC,276,2011-09
14546,TO,638,2011-09
14547,ET,126,2011-10
14548,NY,201,2011-10
14549,SC,218,2011-10
14550,TO,468,2011-10
14551,ET,103,2011-11
14552,NY,191,2011-11
14553,SC,182,2011-11
14554,TO,340,2011-11
14555,ET,109,2011-12
14556,NY,171,2011-12
14557,SC,149,2011-12
14558,TO,356,2011-12
14559,ET,115,2012-01
14560,NY,176,2012-01
14561,SC,171,2012-01
14562,TO,440,2012-01
14563,ET,134,2012-02
14564,NY,195,2012-02
14565,SC,160,2012-02
14566,TO,390,2012-02
14567,ET,183,2012-03
14568,NY,234,2012-03
14569,SC,243,2012-03
14570,TO,567,2012-03
14571,ET,194,2012-04
14572,NY,225,2012-04
14573,SC,252,2012-04
14574,TO,561,2012-04
14575,ET,217,2012-05
14576,NY,294,2012-05
14577,SC,332,2012-05
14578,TO,807,2012-05
14579,ET,262,2012-06
14580,NY,353,2012-06
14581,SC,340,2012-06
14582,TO,888,2012-06
14583,ET,269,2012-07
14584,NY,404,2012-07
14585,SC,371,2012-07
14586,TO,971,2012-07
14587,ET,251,2012-08
14588,NY,353,2012-08
14589,SC,346,2012-08
14590,TO,980,2012-08
14591,ET,132,2012-09
14592,NY,233,2012-09
14593,SC,215,2012-09
14594,TO,563,2012-09
14595,ET,156,2012-10
14596,NY,208,2012-10
14597,SC,215,2012-10
14598,TO,486,2012-10
14599,ET,85,2012-11
14600,NY,180,2012-11
14601,SC,170,2012-11
14602,TO,391,2012-11
14603,ET,99,2012-12
14604,NY,163,2012-12
14605,SC,158,2012-12
14606,TO,365,2012-12
14607,ET,91,2013-01
14608,NY,169,2013-01
14609,SC,138,2013-01
14610,TO,365,2013-01
14611,ET,90,2013-02
14612,NY,163,2013-02
14613,SC,126,2013-02
14614,TO,346,2013-02
14615,ET,130,2013-03
14616,NY,217,2013-03
14617,SC,188,2013-03
14618,TO,455,2013-03
14619,ET,177,2013-04
14620,NY,298,2013-04
14621,SC,219,2013-04
14622,TO,666,2013-04
14623,ET,223,2013-05
14624,NY,310,2013-05
14625,SC,300,2013-05
14626,TO,748,2013-05
14627,ET,212,2013-06
14628,NY,286,2013-06
14629,SC,303,2013-06
14630,TO,778,2013-06
14631,ET,258,2013-07
14632,NY,450,2013-07
14633,SC,319,2013-07
14634,TO,972,2013-07
14635,ET,244,2013-08
14636,NY,324,2013-08
14637,SC,322,2013-08
14638,TO,931,2013-08
14639,ET,157,2013-09
14640,NY,232,2013-09
14641,SC,233,2013-09
14642,TO,607,2013-09
14643,ET,121,2013-10
14644,NY,163,2013-10
14645,SC,208,2013-10
14646,TO,448,2013-10
14647,ET,92,2013-11
14648,NY,162,2013-11
14649,SC,140,2013-11
14650,TO,315,2013-11
14651,ET,89,2013-12
14652,NY,146,2013-12
14653,SC,130,2013-12
14654,TO,314,2013-12
14655,ET,85,2014-01
14656,NY,186,2014-01
14657,SC,139,2014-01
14658,TO,375,2014-01
14659,ET,93,2014-02
14660,NY,134,2014-02
14661,SC,126,2014-02
14662,TO,364,2014-02
14663,ET,151,2014-03
14664,NY,201,2014-03
14665,SC,180,2014-03
14666,TO,530,2014-03
14667,ET,151,2014-04
14668,NY,240,2014-04
14669,SC,229,2014-04
14670,TO,674,2014-04
14671,ET,219,2014-05
14672,NY,318,2014-05
14673,SC,298,2014-05
14674,TO,847,2014-05
14675,ET,240,2014-06
14676,NY,309,2014-06
14677,SC,315,2014-06
14678,TO,942,2014-06
14679,ET,252,2014-07
14680,NY,348,2014-07
14681,SC,338,2014-07
14682,TO,1024,2014-07
14683,ET,239,2014-08
14684,NY,351,2014-08
14685,SC,288,2014-08
14686,TO,967,2014-08
14687,ET,169,2014-09
14688,NY,228,2014-09
14689,SC,225,2014-09
14690,TO,658,2014-09
14691,ET,126,2014-10
14692,NY,180,2014-10
14693,SC,206,2014-10
14694,TO,489,2014-10
14695,ET,77,2014-11
14696,NY,138,2014-11
14697,SC,111,2014-11
14698,TO,347,2014-11
14699,ET,109,2014-12
14700,NY,162,2014-12
14701,SC,157,2014-12
14702,TO,357,2014-12
14703,ET,123,2015-01
14704,NY,140,2015-01
14705,SC,149,2015-01
14706,TO,327,2015-01
14707,ET,108,2015-02
14708,NY,159,2015-02
14709,SC,130,2015-02
14710,TO,333,2015-02
14711,ET,155,2015-03
14712,NY,224,2015-03
14713,SC,222,2015-03
14714,TO,559,2015-03
14715,ET,149,2015-04
14716,NY,273,2015-04
14717,SC,257,2015-04
14718,TO,665,2015-04
14719,ET,245,2015-05
14720,NY,307,2015-05
14721,SC,306,2015-05
14722,TO,805,2015-05
14723,ET,268,2015-06
14724,NY,386,2015-06
14725,SC,346,2015-06
14726,TO,927,2015-06
14727,ET,317,2015-07
14728,NY,387,2015-07
14729,SC,390,2015-07
14730,TO,1090,2015-07
14731,ET,264,2015-08
14732,NY,336,2015-08
14733,SC,325,2015-08
14734,TO,930,2015-08
14735,ET,174,2015-09
14736,NY,251,2015-09
14737,SC,253,2015-09
14738,TO,713,2015-09
14739,ET,135,2015-10
14740,NY,211,2015-10
14741,SC,186,2015-10
14742,TO,478,2015-10
14743,ET,91,2015-11
14744,NY,176,2015-11
14745,SC,149,2015-11
14746,TO,342,2015-11
14747,ET,104,2015-12
14748,NY,169,2015-12
14749,SC,144,2015-12
14750,TO,335,2015-12
14751,ET,92,2016-01
14752,NY,156,2016-01
14753,SC,131,2016-01
14754,TO,346,2016-01
14755,ET,123,2016-02
14756,NY,170,2016-02
14757,SC,173,2016-02
14758,TO,364,2016-02
14759,ET,155,2016-03
14760,NY,197,2016-03
14761,SC,204,2016-03
14762,TO,517,2016-03
14763,ET,197,2016-04
14764,NY,257,2016-04
14765,SC,246,2016-04
14766,TO,695,2016-04
14767,ET,247,2016-05
14768,NY,326,2016-05
14769,SC,306,2016-05
14770,TO,895,2016-05
14771,ET,255,2016-06
14772,NY,344,2016-06
14773,SC,341,2016-06
14774,TO,1071,2016-06
14775,ET,274,2016-07
14776,NY,384,2016-07
14777,SC,348,2016-07
14778,TO,1041,2016-07
14779,ET,296,2016-08
14780,NY,358,2016-08
14781,SC,333,2016-08
14782,TO,1072,2016-08
14783,ET,228,2016-09
14784,NY,265,2016-09
14785,SC,207,2016-09
14786,TO,656,2016-09
14787,ET,139,2016-10
14788,NY,187,2016-10
14789,SC,171,2016-10
14790,TO,489,2016-10
14791,ET,82,2016-11
14792,NY,148,2016-11
14793,SC,135,2016-11
14794,TO,388,2016-11
14795,ET,96,2016-12
14796,NY,164,2016-12
14797,SC,125,2016-12
14798,TO,362,2016-12
14799,ET,102,2017-01
14800,NY,146,2017-01
14801,SC,147,2017-01
14802,TO,347,2017-01
14803,ET,104,2017-02
14804,NY,170,2017-02
14805,SC,139,2017-02
14806,TO,357,2017-02
14807,ET,183,2017-03
14808,NY,237,2017-03
14809,SC,223,2017-03
14810,TO,608,2017-03
14811,ET,173,2017-04
14812,NY,276,2017-04
14813,SC,222,2017-04
14814,TO,627,2017-04
14815,ET,234,2017-05
14816,NY,323,2017-05
14817,SC,323,2017-05
14818,TO,894,2017-05
14819,ET,250,2017-06
14820,NY,350,2017-06
14821,SC,346,2017-06
14822,TO,943,2017-06
14823,ET,287,2017-07
14824,NY,367,2017-07
14825,SC,320,2017-07
14826,TO,971,2017-07
14827,ET,324,2017-08
14828,NY,344,2017-08
14829,SC,312,2017-08
14830,TO,1066,2017-08
14831,ET,207,2017-09
14832,NY,268,2017-09
14833,SC,233,2017-09
14834,TO,729,2017-09
14835,ET,144,2017-10
14836,NY,219,2017-10
14837,SC,194,2017-10
14838,TO,552,2017-10
14839,ET,98,2017-11
14840,NY,185,2017-11
14841,SC,160,2017-11
14842,TO,393,2017-11
14843,ET,114,2017-12
14844,NY,156,2017-12
14845,SC,132,2017-12
14846,TO,385,2017-12
14847,ET,128,2018-01
14848,NY,156,2018-01
14849,SC,156,2018-01
14850,TO,375,2018-01
14851,ET,145,2018-02
14852,NY,182,2018-02
14853,SC,149,2018-02
14854,TO,344,2018-02
14855,ET,177,2018-03
14856,NY,235,2018-03
14857,SC,187,2018-03
14858,TO,538,2018-03
14859,ET,188,2018-04
14860,NY,238,2018-04
14861,SC,239,2018-04
14862,TO,657,2018-04
14863,ET,229,2018-05
14864,NY,337,2018-05
14865,SC,302,2018-05
14866,TO,880,2018-05
14867,ET,279,2018-06
14868,NY,337,2018-06
14869,SC,338,2018-06
14870,TO,964,2018-06
14871,ET,324,2018-07
14872,NY,408,2018-07
14873,SC,347,2018-07
14874,TO,1090,2018-07
14875,ET,365,2018-08
14876,NY,323,2018-08
14877,SC,392,2018-08
14878,TO,1117,2018-08
14879,ET,209,2018-09
14880,NY,256,2018-09
14881,SC,216,2018-09
14882,TO,719,2018-09
14883,ET,187,2018-10
14884,NY,227,2018-10
14885,SC,186,2018-10
14886,TO,582,2018-10
14887,ET,140,2018-11
14888,NY,199,2018-11
14889,SC,169,2018-11
14890,TO,397,2018-11
14891,ET,108,2018-12
14892,NY,157,2018-12
14893,SC,123,2018-12
14894,TO,329,2018-12
14895,ET,123,2019-01
14896,NY,162,2019-01
14897,SC,151,2019-01
14898,TO,341,2019-01
14899,ET,143,2019-02
14900,NY,190,2019-02
14901,SC,158,2019-02
14902,TO,382,2019-02
14903,ET,170,2019-03
14904,NY,236,2019-03
14905,SC,240,2019-03
14906,TO,576,2019-03
14907,ET,193,2019-04
14908,NY,290,2019-04
14909,SC,237,2019-04
14910,TO,724,2019-04
14911,ET,235,2019-05
14912,NY,336,2019-05
14913,SC,285,2019-05
14914,TO,879,2019-05
14915,ET,242,2019-06
14916,NY,315,2019-06
14917,SC,280,2019-06
14918,TO,901,2019-06
14919,ET,308,2019-07
14920,NY,407,2019-07
14921,SC,323,2019-07
14922,TO,1079,2019-07
14923,ET,281,2019-08
14924,NY,384,2019-08
14925,SC,329,2019-08
14926,TO,1011,2019-08
14927,ET,220,2019-09
14928,NY,247,2019-09
14929,SC,221,2019-09
14930,TO,738,2019-09
14931,ET,150,2019-10
14932,NY,228,2019-10
14933,SC,172,2019-10
14934,TO,576,2019-10
14935,ET,120,2019-11
14936,NY,198,2019-11
14937,SC,156,2019-11
14938,TO,433,2019-11
14939,ET,122,2019-12
14940,NY,187,2019-12
14941,SC,153,2019-12
14942,TO,393,2019-12
14943,ET,130,2020-01
14944,NY,168,2020-01
14945,SC,171,2020-01
14946,TO,426,2020-01
14947,ET,130,2020-02
14948,NY,184,2020-02
14949,SC,160,2020-02
14950,TO,434,2020-02
14951,ET,101,2020-03
14952,NY,122,2020-03
14953,SC,99,2020-03
14954,TO,294,2020-03
14955,TO,47,2020-04
14956,TO,123,2020-05
14957,NY,167,2020-06
14958,SC,222,2020-06
14959,TO,248,2020-06
14960,NY,718,2020-07
14961,SC,782,2020-07
14962,NY,776,2020-08
14963,SC,637,2020-08
14964,NY,864,2020-09
14965,SC,569,2020-09
14966,NY,536,2020-10
14967,SC,581,2020-10
14968,NY,366,2020-11
14969,SC,320,2020-11
14970,NY,168,2020-12
14971,SC,200,2020-12
14972,NY,286,2021-01
14973,SC,78,2021-01
14974,NY,427,2021-02
14975,SC,108,2021-02
14976,NY,631,2021-03
14977,SC,285,2021-03
14978,ET,1,2021-04
14979,NY,560,2021-04
14980,SC,191,2021-04
14981,NY,518,2021-05
14982,SC,187,2021-05
14983,NY,677,2021-06
14984,SC,215,2021-06
14985,TO,3,2021-06
14986,NY,997,2021-07
14987,SC,375,2021-07
14988,NY,372,2021-08
14989,SC,266,2021-08
14990,TO,922,2021-08
14991,TO,1773,2021-09
14992,TO,1413,2021-10
14993,TO,783,2021-11
14994,TO,690,2021-12
14995,TO,472,2022-01
